cnnaff,Smiles
5.07668,[H]c1nc(C([H])([H])[C@]([H])(c2c([H])c([H])c([N+](=O)[O-])n([H])c2=O)C([H])([H])C([H])([H])[H])n(C([H])([H])[H])c1[H]
5.07715,[H]ON([H])C(=O)C(=C([H])c1c([H])c(F)c(=O)n([H])c1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
4.81021,[H]c1c([H])c(C(=O)N(C([H])([H])[H])C([H])([H])[H])n([H])c(=O)c1[C@](C([H])([H])[H])(C([H])(F)F)C([H])([H])C([H])([H])[H]
4.79796,[H]ON([H])C(=O)C(=C([H])c1c([H])c([H])c(=O)n([H])c1[H])[C@]([H])(C#N)Oc1c([H])c([H])c([H])c(Cl)c1[H]
3.64787,[H]c1c(N2C([H])([H])C([H])([H])O[C@@]([H])(C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C2([H])[H])c([H])c(=O)n([H])c1[H]
3.6756,[H]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])n([H])c(=O)c1[H]
4.06531,[H]c1oc([H])c(-n2c([H])c([H])c(OC([H])([H])C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c2=O)c1[H]
4.79437,[H]c1c(C(=O)N([H])C([H])([H])C([H])([H])[H])c(OC([H])([H])[H])n(-c2nc3c([H])c([H])c([H])c([H])c3n2[H])c(=O)c1[H]
5.09249,[H]c1c(SN([H])C(=O)OC([H])([H])C([H])([H])[H])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c(=O)n([H])c1[H]
4.0732,[H]Sc1c(N2C([H])([H])C([H])([H])C2([H])[H])c([H])n([H])c(=O)c1[H]
5.09268,[H]c1c([H])c([H])c(-c2c([H])c([H])c(C([H])([H])C(=O)N([H])c3c([H])c([H])c(=O)n([H])c3[H])c([H])c2[H])c(OC([H])([H])[H])c1[H]
3.67839,[H]c1c(C([H])([H])N([H])C([H])([H])F)c([H])n(SC(F)(F)F)c(=O)c1[H]
5.09886,[H]c1c([H])c(F)c([H])c(C([H])([H])[C@@]([H])(OC([H])([H])C([H])([H])F)[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])[H])c1[H]
4.78481,[H]c1nc([H])c([C@]([H])(N([H])C(=O)c2c([H])c([H])c(=O)n([H])c2[H])C([H])([H])N([H])C([H])([H])C([H])([H])OC([H])([H])[H])c([H])n1
5.68859,[H]c1c([H])c([H])c(N([H])n2c([H])c([H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c2=O)c(C(=O)N([H])[H])c1[H]
5.30974,[H]c1oc([H])c(-n2c([H])c(C([H])([H])c3c([H])c([H])c4c([H])c([H])c([H])c([H])c4c3[H])c([H])c([H])c2=O)c1[H]
5.23708,[H]c1c(N2C([H])([H])C([H])([H])OC([H])([H])[C@]2([H])Cl)c([H])c(=O)n([C@]2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])C([H])([H])N([H])[H])c1[H]
5.23642,[H]ON([H])C(=O)C([H])([H])[C@@]1([H])N(c2c(SN([H])C(=O)OC([H])([H])C([H])([H])[H])c([H])c([H])n([H])c2=O)C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
3.76816,[H]c1c(SC([H])([H])C(=O)OC([H])([H])[H])c(C([H])([H])N([H])C([H])([H])[H])c(=O)n([H])c1[H]
3.67846,[H]c1c(SC([H])([H])C(=O)OC([H])([H])[H])c([H])c(=O)n([H])c1[H]
5.30767,[H]OC([H])([H])C(c1c([H])c(S[H])c(-c2c([H])c([H])c([H])c(C([H])([H])N([H])[H])c2[H])c(=O)n1[H])(C([H])([H])[H])C([H])([H])[H]
4.08453,[H]c1c(SC([H])([H])C(=O)OC([H])([H])OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(=O)n([H])c1[H]
